work_id,mp_id,state,district,financial_year,nature_of_work,description,implementing_agency,vendor_id,sanctioned_amount,expenditure_incurred,amount_released,progress_pct,status,recommend_date,sanction_date,execution_start_date,first_payment_date,completion_date,completion_photo_id,has_completion_evidence
W00029,MP015,Karnataka,Bengaluru,2025-26,Solar street lights,"Solar street lights at ward 17, Bengaluru",IA007,V034,633000,492000,425000,82,in_progress,2023-08-19,2023-09-22,2023-10-28,2023-12-25,,,False
W00030,MP016,Maharashtra,Nashik,2025-26,Public toilet block,"Public toilet block at ward 23, Nashik",IA004,V046,436000,203000,200000,53,in_progress,2025-01-15,2025-03-20,2025-04-20,2025-11-06,,,False
W00031,MP014,Maharashtra,Nagpur,2025-26,Community hall,"Community hall at ward 20, Nagpur",IA012,V030,1537000,1056000,1034000,78,in_progress,2023-09-17,2023-11-27,2024-01-04,2024-07-04,,,False
W00032,MP002,Karnataka,Mysuru,2023-24,CC road / paver block,"CC road / paver block at ward 3, Mysuru",IA031,V033,715000,687000,658000,100,completed,2024-10-01,2024-11-06,2024-11-29,2025-04-06,2025-04-07,IMG_W00032,True
W00033,MP022,Maharashtra,Nashik,2023-24,Culvert / drainage,"Culvert / drainage at ward 37, Nashik",IA027,V012,2498984,2310000,1316000,100,completed,2024-05-28,2024-07-06,2024-07-29,2024-09-22,2025-02-25,IMG_W00033,True
W00034,MP012,Maharashtra,Thane,2024-25,Community hall,"Community hall at ward 2, Thane",IA029,V058,2776000,2581000,2373000,100,completed,2025-06-27,2025-09-01,2025-09-21,2025-12-24,2026-01-10,IMG_W00034,True
W00035,MP025,Karnataka,Belagavi,2025-26,Public toilet block,"Public toilet block at ward 15, Belagavi",IA032,V012,982000,612000,551000,58,in_progress,2023-07-07,2023-09-21,2023-10-26,2023-12-22,,,False
W00036,MP005,Maharashtra,Thane,2023-24,Solar street lights,"Solar street lights at ward 30, Thane",IA006,V040,295000,253000,240000,100,completed,2025-11-14,2025-12-21,2026-01-23,2026-08-09,2026-06-04,IMG_W00036,True
W00037,MP025,Karnataka,Mysuru,2023-24,CC road / paver block,"CC road / paver block at ward 6, Mysuru",IA022,V052,1497000,1374000,1282000,100,completed,2024-06-08,2024-07-13,2024-08-24,2025-02-23,2025-05-25,IMG_W00037,True
W00038,MP018,Tamil Nadu,Salem,2024-25,Solar street lights,"Solar street lights at ward 14, Salem",IA032,V020,514000,441000,400000,100,completed,2023-06-22,2023-08-16,2023-09-15,2023-11-01,2024-03-14,IMG_W00038,True
W00039,MP007,Karnataka,Hubli,2024-25,Public toilet block,"Public toilet block at ward 24, Hubli",IA010,V055,344000,168000,136000,52,in_progress,2025-10-03,2025-12-10,2026-01-06,2026-02-05,,,False
W00040,MP016,Maharashtra,Nagpur,2023-24,Community hall,"Community hall at ward 4, Nagpur",IA002,V026,1628000,1515000,1389000,100,completed,2023-06-11,2023-07-18,2023-08-21,2024-01-11,2023-12-02,IMG_W00040,True
W00041,MP006,Karnataka,Bengaluru,2024-25,Drinking water - borewell,"Drinking water - borewell at ward 40, Bengaluru",IA008,V023,344000,326000,323000,100,completed,2023-08-02,2023-09-07,2023-10-04,2023-12-21,2024-04-02,IMG_W00041,True
W00042,MP001,Maharashtra,Nashik,2024-25,School classroom block,"School classroom block at ward 23, Nashik",IA021,V006,3449000,0,0,0,sanctioned,2024-12-07,2025-01-21,,,,,False
W00043,MP021,Tamil Nadu,Salem,2025-26,CC road / paver block,"CC road / paver block at ward 22, Salem",IA013,V058,1685000,1442000,1311000,100,completed,2023-12-14,2024-01-15,2024-02-14,2024-05-02,2024-04-27,IMG_W00043,True
W00044,MP018,Karnataka,Belagavi,2025-26,Drinking water - borewell,"Drinking water - borewell at ward 26, Belagavi",IA012,V054,429000,262000,206000,70,in_progress,2024-05-29,2024-07-30,2024-08-26,2024-12-19,,,False
W00045,MP024,Maharashtra,Nashik,2025-26,Community hall,"Community hall at ward 25, Nashik",IA032,V003,2088000,1871000,1830000,100,completed,2024-09-24,2024-11-10,2024-12-21,2025-05-29,2025-04-03,IMG_W00045,True
W00046,MP015,Maharashtra,Pune,2024-25,Public toilet block,"Public toilet block at ward 22, Pune",IA024,V001,274000,82000,72000,32,in_progress,2025-04-29,2025-07-24,2025-08-27,2025-10-08,,,False
W00047,MP005,Tamil Nadu,Salem,2025-26,CC road / paver block,"CC road / paver block at ward 1, Salem",IA008,V015,1177000,1106000,1086000,100,completed,2023-08-02,2023-10-15,2023-10-31,2024-05-13,2024-02-07,IMG_W00047,True
W00048,MP006,Tamil Nadu,Trichy,2025-26,e-Library,"e-Library at ward 6, Trichy",IA003,V053,1257000,0,0,0,sanctioned,2024-12-31,2025-03-21,,,,,False
W00049,MP004,Tamil Nadu,Trichy,2025-26,Drinking water - borewell,"Drinking water - borewell at ward 32, Trichy",IA023,V026,715000,743000,688000,100,completed,2023-11-25,2024-01-19,2024-02-10,2024-08-15,2024-11-07,IMG_W00049,True
W00050,MP018,Karnataka,Hubli,2025-26,e-Library,"e-Library at ward 24, Hubli",IA028,V051,809000,763000,742000,100,completed,2023-09-22,2023-11-13,2023-12-04,2024-01-21,2024-06-05,IMG_W00050,True
W00051,MP015,Tamil Nadu,Madurai,2025-26,Drinking water - borewell,"Drinking water - borewell at ward 35, Madurai",IA027,V024,401000,578000,321000,100,completed,2023-07-15,2023-09-29,2023-10-20,2024-04-23,2024-07-29,IMG_W00051,True
W00052,MP001,Karnataka,Hubli,2025-26,Public toilet block,"Public toilet block at ward 10, Hubli",IA019,V033,998000,0,0,0,sanctioned,2024-04-10,2024-05-21,,,,,False
W00053,MP004,Maharashtra,Pune,2024-25,Public toilet block,"Public toilet block at ward 20, Pune",IA027,V029,232000,124000,88000,55,in_progress,2024-07-10,2024-09-25,2024-11-04,2025-01-09,,,False
W00054,MP016,Tamil Nadu,Coimbatore,2025-26,Public toilet block,"Public toilet block at ward 35, Coimbatore",IA015,V024,810000,603000,581000,68,in_progress,2024-06-22,2024-08-18,2024-09-11,2025-02-06,,,False
W00055,MP005,Karnataka,Bengaluru,2025-26,Public toilet block,"Public toilet block at ward 2, Bengaluru",IA011,V004,499000,507000,494000,100,completed,2025-04-06,2025-05-06,2025-05-25,2025-11-06,2026-01-01,IMG_W00055,True
W00056,MP004,Karnataka,Belagavi,2024-25,Culvert / drainage,"Culvert / drainage at ward 20, Belagavi",IA017,V016,1475000,1308000,1179000,100,completed,2024-09-21,2024-12-13,2024-12-29,2025-06-16,2025-07-31,IMG_W00056,True
W00057,MP017,Maharashtra,Nashik,2024-25,Culvert / drainage,"Culvert / drainage at ward 36, Nashik",IA009,V018,353000,344000,333000,100,completed,2025-08-05,2025-09-12,2025-10-20,2026-03-04,2026-07-01,IMG_W00057,True
W00058,MP006,Tamil Nadu,Chennai,2024-25,Public toilet block,"Public toilet block at ward 12, Chennai",IA005,V044,714000,538000,484000,78,in_progress,2025-12-20,2026-02-14,2026-03-12,2026-09-19,,,False
W00059,MP017,Maharashtra,Pune,2023-24,e-Library,"e-Library at ward 27, Pune",IA032,V055,1661000,1504000,1392000,100,completed,2024-12-28,2025-02-05,2025-03-10,2025-05-14,2025-07-28,IMG_W00059,True
W00060,MP012,Maharashtra,Nashik,2023-24,Drinking water - borewell,"Drinking water - borewell at ward 33, Nashik",IA032,V058,390000,693000,311000,100,completed,2025-08-16,2025-09-21,2025-10-19,2025-12-07,2026-06-07,IMG_W00060,True
W00061,MP002,Karnataka,Belagavi,2024-25,Community hall,"Community hall at ward 21, Belagavi",IA040,V026,2962000,0,0,0,sanctioned,2024-09-09,2024-10-12,,,,,False
W00062,MP004,Maharashtra,Nashik,2025-26,Drinking water - borewell,"Drinking water - borewell at ward 8, Nashik",IA001,V019,279000,292000,265000,100,completed,2023-07-12,2023-09-27,2023-10-14,2024-03-26,2024-06-08,,False
W00063,MP023,Karnataka,Hubli,2024-25,Public toilet block,"Public toilet block at ward 26, Hubli",IA001,V010,414000,356000,329000,100,completed,2023-06-13,2023-07-22,2023-09-03,2023-11-17,2024-04-30,IMG_W00063,True
W00064,MP013,Tamil Nadu,Coimbatore,2023-24,School classroom block,"School classroom block at ward 2, Coimbatore",IA027,V007,2497454,2407000,425000,38,in_progress,2025-07-19,2025-09-11,2025-10-20,2026-03-09,,,False
W00065,MP008,Tamil Nadu,Coimbatore,2023-24,School classroom block,"School classroom block at ward 23, Coimbatore",IA035,V058,1143000,1181000,1072000,100,completed,2023-04-04,2023-07-03,2023-07-29,2023-12-28,2023-11-02,IMG_W00065,True
W00066,MP015,Maharashtra,Nashik,2023-24,Public toilet block,"Public toilet block at ward 35, Nashik",IA030,V054,217000,217000,212000,100,completed,2025-10-26,2025-12-24,2026-01-25,2026-05-13,2026-08-10,IMG_W00066,True
W00067,MP006,Maharashtra,Nashik,2023-24,Community hall,"Community hall at ward 37, Nashik",IA001,V011,1902000,725000,690000,41,in_progress,2023-04-28,2023-07-05,2023-07-21,2024-01-24,,,False
W00068,MP012,Karnataka,Belagavi,2025-26,School classroom block,"School classroom block at ward 21, Belagavi",IA038,V023,1050000,985000,901000,100,completed,2025-07-21,2025-09-09,2025-10-08,2026-03-31,2026-04-15,IMG_W00068,True
W00069,MP005,Karnataka,Belagavi,2024-25,School classroom block,"School classroom block at ward 22, Belagavi",IA035,V051,1292000,641000,514000,48,in_progress,2025-08-06,2025-09-23,2025-10-21,2026-03-15,,,False
W00070,MP003,Maharashtra,Thane,2024-25,Drinking water - borewell,"Drinking water - borewell at ward 33, Thane",IA014,V004,242000,247000,242000,100,completed,2023-07-31,2023-10-23,2023-11-19,2024-02-11,2024-04-25,IMG_W00070,True
W00071,MP019,Tamil Nadu,Salem,2024-25,e-Library,"e-Library at ward 10, Salem",IA021,V015,1567000,1426000,1355000,100,completed,2024-11-11,2025-01-03,2025-02-16,2025-04-13,2025-09-30,IMG_W00071,True
W00072,MP018,Tamil Nadu,Trichy,2024-25,Drinking water - borewell,"Drinking water - borewell at ward 24, Trichy",IA014,V029,284000,260000,241000,100,completed,2023-04-15,2023-06-18,2023-07-26,2023-11-13,2024-05-16,IMG_W00072,True
W00073,MP013,Maharashtra,Thane,2023-24,Solar street lights,"Solar street lights at ward 32, Thane",IA012,V031,507000,281000,207000,56,in_progress,2023-05-14,2023-07-10,2023-07-25,2023-11-21,,,False
W00074,MP003,Tamil Nadu,Salem,2024-25,Solar street lights,"Solar street lights at ward 21, Salem",IA005,V055,534000,521000,503000,100,completed,2024-08-25,2024-09-30,2024-11-04,2024-12-25,2025-07-12,IMG_W00074,True
W00075,MP021,Karnataka,Hubli,2025-26,CC road / paver block,"CC road / paver block at ward 2, Hubli",IA033,V034,2153000,2010000,1926000,100,completed,2024-07-13,2024-09-22,2024-10-19,2024-12-01,2025-01-09,IMG_W00075,True
W00076,MP017,Tamil Nadu,Coimbatore,2023-24,Public toilet block,"Public toilet block at ward 13, Coimbatore",IA037,V020,859000,0,0,0,sanctioned,2024-08-24,2024-10-15,,,,,False
W00077,MP010,Karnataka,Mysuru,2025-26,Culvert / drainage,"Culvert / drainage at ward 13, Mysuru",IA032,V056,1044000,1048000,1039000,100,completed,2025-12-26,2026-02-07,2026-03-08,2026-07-26,2026-05-22,IMG_W00077,True
W00078,MP008,Tamil Nadu,Salem,2024-25,CC road / paver block,"CC road / paver block at ward 24, Salem",IA025,V015,2356000,2399000,2235000,100,completed,2023-09-15,2023-11-15,2023-12-07,2024-01-20,2024-05-13,IMG_W00078,True
W00079,MP015,Karnataka,Belagavi,2023-24,School classroom block,"School classroom block at ward 37, Belagavi",IA011,V016,943000,0,0,0,sanctioned,2025-05-27,2025-07-09,,,,,False
W00080,MP006,Karnataka,Mysuru,2025-26,Solar street lights,"Solar street lights at ward 20, Mysuru",IA029,V024,758000,680000,659000,100,completed,2025-10-19,2025-12-26,2026-01-27,2026-07-29,2026-07-14,IMG_W00080,True
W00081,MP012,Maharashtra,Thane,2024-25,Public toilet block,"Public toilet block at ward 40, Thane",IA031,V049,214000,204000,192000,100,completed,2024-07-23,2024-09-15,2024-10-26,2025-03-29,2025-05-02,IMG_W00081,True
W00082,MP015,Maharashtra,Thane,2024-25,Culvert / drainage,"Culvert / drainage at ward 32, Thane",IA003,V038,1337000,1222000,1142000,100,completed,2023-08-31,2023-10-30,2023-12-04,2024-02-10,2024-06-19,IMG_W00082,True
W00083,MP024,Maharashtra,Pune,2024-25,School classroom block,"School classroom block at ward 28, Pune",IA031,V024,2377000,1312000,1307000,56,in_progress,2025-08-28,2025-11-25,2025-12-10,2026-06-01,,,False
W00084,MP007,Tamil Nadu,Madurai,2024-25,Solar street lights,"Solar street lights at ward 36, Madurai",IA037,V024,572000,499000,477000,100,completed,2024-12-05,2025-01-15,2025-02-16,2025-07-15,2025-07-26,IMG_W00084,True
W00085,MP003,Maharashtra,Thane,2024-25,Solar street lights,"Solar street lights at ward 18, Thane",IA021,V015,274000,84000,272000,15,in_progress,2025-01-11,2025-03-14,2025-04-08,2025-07-17,,,False
W00086,MP022,Tamil Nadu,Coimbatore,2023-24,CC road / paver block,"CC road / paver block at ward 16, Coimbatore",IA017,V051,1453000,1311000,1306000,100,completed,2023-08-14,2023-10-19,2023-11-27,2024-02-16,2024-06-04,IMG_W00086,True
W00087,MP009,Tamil Nadu,Chennai,2025-26,Community hall,"Community hall at ward 9, Chennai",IA024,V058,3252000,3061000,3053000,100,completed,2024-06-12,2024-07-22,2024-08-07,2025-01-09,2025-03-25,IMG_SHARED_1888,True
W00088,MP007,Maharashtra,Thane,2023-24,e-Library,"e-Library at ward 33, Thane",IA014,V055,886000,1670000,805000,100,completed,2023-04-17,2023-05-27,2023-06-24,2023-07-24,2024-02-02,IMG_W00088,True
W00089,MP018,Tamil Nadu,Trichy,2024-25,Culvert / drainage,"Culvert / drainage at ward 39, Trichy",IA011,V017,543000,568000,553000,100,completed,2024-11-06,2025-01-22,2025-02-15,2025-04-15,2025-05-24,IMG_SHARED_2047,True
W00090,MP003,Maharashtra,Pune,2024-25,Community hall,"Community hall at ward 27, Pune",IA027,V001,2498330,2267000,877000,86,in_progress,2025-11-13,2025-12-29,2026-01-18,2026-02-17,,,False
W00091,MP008,Karnataka,Belagavi,2023-24,Culvert / drainage,"Culvert / drainage at ward 23, Belagavi",IA014,V015,422000,248000,213000,69,in_progress,2025-09-15,2025-11-24,2025-12-16,2026-05-10,,,False
W00092,MP010,Karnataka,Hubli,2023-24,CC road / paver block,"CC road / paver block at ward 2, Hubli",IA026,V002,1291000,0,0,0,sanctioned,2024-01-05,2024-03-17,,,,,False
W00093,MP017,Maharashtra,Nashik,2025-26,Solar street lights,"Solar street lights at ward 28, Nashik",IA020,V052,297000,268000,262000,100,completed,2025-10-13,2025-12-24,2026-02-05,2026-04-29,2026-10-11,IMG_W00093,True
W00094,MP017,Karnataka,Bengaluru,2024-25,School classroom block,"School classroom block at ward 8, Bengaluru",IA005,V032,3302000,3218000,3037000,100,completed,2023-09-05,2023-11-07,2023-11-27,2024-03-29,2024-03-23,IMG_W00094,True
W00095,MP010,Tamil Nadu,Salem,2024-25,Drinking water - borewell,"Drinking water - borewell at ward 32, Salem",IA020,V050,207000,176000,171000,100,completed,2024-04-07,2024-05-10,2024-06-05,2024-09-18,2025-01-23,IMG_W00095,True
W00096,MP005,Karnataka,Bengaluru,2025-26,e-Library,"e-Library at ward 11, Bengaluru",IA006,V044,1946000,2029000,1865000,100,completed,2023-06-21,2023-09-06,2023-10-03,2024-03-11,2024-04-15,IMG_W00096,True
W00097,MP014,Karnataka,Bengaluru,2024-25,Culvert / drainage,"Culvert / drainage at ward 22, Bengaluru",IA039,V002,1112000,0,0,0,sanctioned,2024-09-18,2024-11-22,,,,,False
W00098,MP014,Karnataka,Belagavi,2024-25,Public toilet block,"Public toilet block at ward 13, Belagavi",IA022,V039,790000,746000,691000,100,completed,2024-05-20,2024-07-30,2024-08-22,2025-01-21,2025-04-29,IMG_W00098,True
W00099,MP019,Maharashtra,Pune,2025-26,e-Library,"e-Library at ward 22, Pune",IA025,V028,862000,750000,688000,100,completed,2025-11-18,2026-01-03,2026-01-31,2026-06-17,2026-11-13,IMG_W00099,True
W00100,MP020,Maharashtra,Thane,2024-25,Culvert / drainage,"Culvert / drainage at ward 31, Thane",IA031,V025,1385000,2797000,1209000,100,completed,2023-04-16,2023-06-26,2023-07-24,2023-09-18,2024-03-26,IMG_SHARED_8978,True
W00101,MP004,Maharashtra,Nagpur,2023-24,Public toilet block,"Public toilet block at ward 7, Nagpur",IA039,V014,516000,223000,169000,40,in_progress,2025-05-20,2025-08-10,2025-08-29,2026-02-06,,,False
W00102,MP001,Maharashtra,Nagpur,2024-25,e-Library,"e-Library at ward 36, Nagpur",IA002,V038,1153000,1030000,1012000,100,completed,2024-12-11,2025-01-30,2025-03-06,2025-08-14,2025-08-26,IMG_W00102,True
W00103,MP024,Maharashtra,Thane,2023-24,Solar street lights,"Solar street lights at ward 22, Thane",IA036,V020,882000,765000,756000,100,completed,2023-07-23,2023-10-16,2023-11-30,2024-02-26,2024-04-23,IMG_W00103,True
W00104,MP007,Maharashtra,Thane,2024-25,Drinking water - borewell,"Drinking water - borewell at ward 10, Thane",IA023,V014,504000,513000,510000,100,completed,2025-01-25,2025-02-28,2025-04-09,2025-08-05,2025-08-11,IMG_W00104,True
W00105,MP007,Karnataka,Hubli,2024-25,School classroom block,"School classroom block at ward 14, Hubli",IA020,V023,952000,0,0,0,sanctioned,2025-01-22,2025-03-11,,,,,False
W00106,MP004,Maharashtra,Pune,2023-24,CC road / paver block,"CC road / paver block at ward 12, Pune",IA021,V023,1344000,902000,842000,64,in_progress,2023-08-07,2023-10-23,2023-11-10,2024-05-05,,,False
W00107,MP025,Tamil Nadu,Madurai,2025-26,Drinking water - borewell,"Drinking water - borewell at ward 29, Madurai",IA011,V031,268000,257000,242000,100,completed,2025-01-10,2025-02-27,2025-03-14,2025-08-04,2025-09-14,IMG_W00107,True
W00108,MP011,Maharashtra,Thane,2024-25,Public toilet block,"Public toilet block at ward 37, Madurai",IA034,V059,422000,202000,164000,45,in_progress,2024-10-05,2024-12-20,2025-01-04,2025-06-22,,,False
W00109,MP003,Tamil Nadu,Salem,2024-25,CC road / paver block,"CC road / paver block at ward 35, Salem",IA001,V054,1931000,2020000,1841000,100,completed,2023-06-29,2023-09-14,2023-10-24,2024-02-11,2024-02-27,IMG_W00109,True
W00110,MP021,Tamil Nadu,Trichy,2025-26,Drinking water - borewell,"Drinking water - borewell at ward 6, Trichy",IA007,V058,790000,773000,735000,100,completed,2024-12-05,2025-02-23,2025-03-10,2025-07-29,2025-09-03,IMG_W00110,True
W00111,MP011,Tamil Nadu,Chennai,2025-26,School classroom block,"School classroom block at ward 29, Chennai",IA040,V020,1025000,1035000,937000,100,completed,2024-04-20,2024-05-27,2024-06-27,2024-09-19,2025-04-10,IMG_W00111,True
W00112,MP005,Tamil Nadu,Trichy,2025-26,Drinking water - borewell,"Drinking water - borewell at ward 20, Trichy",IA019,V005,330000,289000,285000,100,completed,2024-12-22,2025-02-23,2025-03-23,2025-08-20,2025-11-09,IMG_W00112,True
W00113,MP010,Maharashtra,Nashik,2024-25,Public toilet block,"Public toilet block at ward 5, Nashik",IA012,V060,845000,872000,832000,100,completed,2024-09-20,2024-11-11,2024-12-20,2025-03-03,2025-08-29,IMG_W00113,True
W00114,MP015,Maharashtra,Thane,2023-24,e-Library,"e-Library at ward 30, Thane",IA034,V043,1948000,1976000,1960000,100,completed,2025-09-27,2025-10-27,2025-11-30,2026-04-02,2026-08-04,IMG_W00114,True
W00115,MP015,Maharashtra,Thane,2024-25,Solar street lights,"Solar street lights at ward 11, Thane",IA013,V055,786000,0,0,0,sanctioned,2023-05-08,2023-07-29,,,,,False
W00116,MP007,Karnataka,Mysuru,2025-26,School classroom block,"School classroom block at ward 7, Mysuru",IA001,V021,801000,713000,710000,100,completed,2025-01-15,2025-02-21,2025-03-17,2025-10-01,2025-08-18,IMG_W00116,True
W00117,MP007,Maharashtra,Thane,2025-26,Culvert / drainage,"Culvert / drainage at ward 3, Bengaluru",IA034,V059,1240000,1168000,1117000,100,completed,2024-12-22,2025-02-20,2025-03-17,2025-05-02,2025-07-16,IMG_W00117,True
W00118,MP018,Karnataka,Bengaluru,2023-24,Community hall,"Community hall at ward 1, Bengaluru",IA035,V015,1113000,967000,953000,100,completed,2025-08-01,2025-09-30,2025-11-06,2026-05-17,2026-05-15,IMG_W00118,True
W00119,MP001,Maharashtra,Nashik,2025-26,Solar street lights,"Solar street lights at ward 40, Nashik",IA006,V059,412000,262000,195000,64,in_progress,2024-10-25,2024-11-27,2024-12-26,2025-05-08,,,False
W00120,MP025,Karnataka,Belagavi,2023-24,Culvert / drainage,"Culvert / drainage at ward 5, Belagavi",IA028,V003,448000,993000,411000,100,completed,2025-04-23,2025-06-17,2025-07-24,2025-12-09,2026-05-04,IMG_W00120,True
W00121,MP012,Tamil Nadu,Salem,2025-26,Culvert / drainage,"Culvert / drainage at ward 23, Salem",IA019,V040,1355000,680000,549000,49,in_progress,2025-07-29,2025-10-14,2025-11-28,2026-04-05,,,False
W00122,MP006,Tamil Nadu,Madurai,2024-25,Drinking water - borewell,"Drinking water - borewell at ward 17, Madurai",IA025,V049,347000,313000,483000,100,completed,2024-12-27,2025-03-04,2025-04-14,2025-09-04,2026-01-22,IMG_W00122,True
